Areaname	STCOU	IPE010206F	IPE010206D	IPE010206N1	IPE010206N2	IPE010207F	IPE010207D	IPE010207N1	IPE010207N2	IPE010208F	IPE010208D	IPE010208N1	IPE010208N2	IPE010209F	IPE010209D	IPE010209N1	IPE010209N2	IPE110195F	IPE110195D	IPE110195N1	IPE110195N2	IPE110197F	IPE110197D	IPE110197N1	IPE110197N2	IPE110198F	IPE110198D	IPE110198N1	IPE110198N2	IPE110199F	IPE110199D	IPE110199N1	IPE110199N2	IPE110200F	IPE110200D	IPE110200N1	IPE110200N2	IPE110201F	IPE110201D	IPE110201N1	IPE110201N2
Cooper, MO	29053	0	35201	0000	0000	0	42073	0000	0000	0	42929	0000	0000	0	41557	0000	0000	0	1818	0000	0000	0	1682	0000	0000	0	1711	0000	0000	0	1660	0000	0000	0	1608	0000	0000	0	1766	0000	0000
Crawford, MO	29055	0	35824	0000	0000	0	34155	0000	0000	0	34832	0000	0000	0	34672	0000	0000	0	3676	0000	0000	0	3550	0000	0000	0	3497	0000	0000	0	3570	0000	0000	0	3388	0000	0000	0	3394	0000	0000
Dade, MO	29057	0	31973	0000	0000	0	33653	0000	0000	0	32856	0000	0000	0	33216	0000	0000	0	1295	0000	0000	0	1200	0000	0000	0	1172	0000	0000	0	1041	0000	0000	0	984	0000	0000	0	1072	0000	0000
Dallas, MO	29059	0	32903	0000	0000	0	32713	0000	0000	0	34600	0000	0000	0	33066	0000	0000	0	2729	0000	0000	0	2540	0000	0000	0	2679	0000	0000	0	2529	0000	0000	0	2484	0000	0000	0	2612	0000	0000
Daviess, MO	29061	0	35534	0000	0000	0	35677	0000	0000	0	38866	0000	0000	0	37570	0000	0000	0	1418	0000	0000	0	1286	0000	0000	0	1349	0000	0000	0	1231	0000	0000	0	1143	0000	0000	0	1190	0000	0000
DeKalb, MO	29063	0	37230	0000	0000	0	44823	0000	0000	0	41592	0000	0000	0	38950	0000	0000	0	1468	0000	0000	0	1429	0000	0000	0	1218	0000	0000	0	1059	0000	0000	0	1194	0000	0000	0	1517	0000	0000
Dent, MO	29065	0	31725	0000	0000	0	32648	0000	0000	0	34482	0000	0000	0	31240	0000	0000	0	3051	0000	0000	0	2765	0000	0000	0	2564	0000	0000	0	2471	0000	0000	0	2429	0000	0000	0	2508	0000	0000
Douglas, MO	29067	0	28541	0000	0000	0	30173	0000	0000	0	29051	0000	0000	0	32936	0000	0000	0	2815	0000	0000	0	2704	0000	0000	0	2573	0000	0000	0	2378	0000	0000	0	2419	0000	0000	0	2678	0000	0000
Dunklin, MO	29069	0	28575	0000	0000	0	30615	0000	0000	0	28650	0000	0000	0	28838	0000	0000	0	8976	0000	0000	0	7827	0000	0000	0	7588	0000	0000	0	7249	0000	0000	0	6712	0000	0000	0	6727	0000	0000
Franklin, MO	29071	0	45788	0000	0000	0	50717	0000	0000	0	49064	0000	0000	0	49034	0000	0000	0	8373	0000	0000	0	7778	0000	0000	0	7575	0000	0000	0	7599	0000	0000	0	6526	0000	0000	0	6894	0000	0000
Gasconade, MO	29073	0	40340	0000	0000	0	40166	0000	0000	0	38468	0000	0000	0	39771	0000	0000	0	1469	0000	0000	0	1581	0000	0000	0	1509	0000	0000	0	1437	0000	0000	0	1402	0000	0000	0	1486	0000	0000
Gentry, MO	29075	0	32679	0000	0000	0	35656	0000	0000	0	34953	0000	0000	0	35889	0000	0000	0	972	0000	0000	0	884	0000	0000	0	853	0000	0000	0	809	0000	0000	0	719	0000	0000	0	775	0000	0000
Greene, MO	29077	0	39469	0000	0000	0	41133	0000	0000	0	43635	0000	0000	0	37986	0000	0000	0	28830	0000	0000	0	26959	0000	0000	0	26821	0000	0000	0	27126	0000	0000	0	25353	0000	0000	0	27308	0000	0000
Grundy, MO	29079	0	31245	0000	0000	0	32596	0000	0000	0	35381	0000	0000	0	35543	0000	0000	0	1698	0000	0000	0	1492	0000	0000	0	1541	0000	0000	0	1424	0000	0000	0	1353	0000	0000	0	1435	0000	0000
Harrison, MO	29081	0	32430	0000	0000	0	33549	0000	0000	0	34294	0000	0000	0	33070	0000	0000	0	1486	0000	0000	0	1312	0000	0000	0	1297	0000	0000	0	1225	0000	0000	0	1181	0000	0000	0	1299	0000	0000
Henry, MO	29083	0	34948	0000	0000	0	34908	0000	0000	0	35939	0000	0000	0	36332	0000	0000	0	3328	0000	0000	0	3091	0000	0000	0	3045	0000	0000	0	2947	0000	0000	0	2864	0000	0000	0	2865	0000	0000
Hickory, MO	29085	0	27869	0000	0000	0	28840	0000	0000	0	28988	0000	0000	0	27397	0000	0000	0	1740	0000	0000	0	1682	0000	0000	0	1638	0000	0000	0	1597	0000	0000	0	1564	0000	0000	0	1685	0000	0000
Holt, MO	29087	0	36052	0000	0000	0	35835	0000	0000	0	36432	0000	0000	0	38530	0000	0000	0	852	0000	0000	0	777	0000	0000	0	822	0000	0000	0	700	0000	0000	0	590	0000	0000	0	625	0000	0000
Howard, MO	29089	0	36607	0000	0000	0	40483	0000	0000	0	40527	0000	0000	0	39090	0000	0000	0	1253	0000	0000	0	1285	0000	0000	0	1298	0000	0000	0	1208	0000	0000	0	1177	0000	0000	0	1178	0000	0000
Howell, MO	29091	0	30503	0000	0000	0	31758	0000	0000	0	33249	0000	0000	0	31135	0000	0000	0	7630	0000	0000	0	7022	0000	0000	0	7201	0000	0000	0	6872	0000	0000	0	6231	0000	0000	0	6479	0000	0000
